STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,TIME_PERIOD,OBS_VALUE,AGG_METHOD_ID,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,20.90919065,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFW,Africa Western and Central,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,26.36320407,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARB,Arab World,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,21.18760258,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CSS,Caribbean small states,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,11.38259817,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CEB,Central Electricity Board (CEB),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,8.632179425,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAR,Early-demographic dividend,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,18.89539212,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAS,East Asia & Pacific,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,20.89099389,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAP,East Asia & Pacific (excluding high income),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,22.92614579,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,23.07214542,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EMU,Euro area,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,10.48591632,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECS,Europe & Central Asia,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,10.07169932,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECA,Europe & Central Asia (excluding high income),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,11.88341557,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TEC,Europe & Central Asia (IDA & IBRD),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,9.495155583,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EUU,European Union,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,10.05325394,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FCS,Fragile and conflict affected situations,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,20.66903619,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HPC,Heavily indebted poor countries (HIPC),WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,23.84280887,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HIC,High income,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,9.426082988,_Z,A,Normal value,PU
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IBD,IBRD only,WB_WDI_SP_DYN_CDRT_IN,"Death rate, crude (per 1,000 people)",1960,18.98432955,_Z,A,Normal value,PU
