STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,TIME_PERIOD,OBS_VALUE,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFE,Africa Eastern and Southern,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,186.1324317,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFW,Africa Western and Central,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,121.9383531,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CSS,Caribbean small states,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,374.1942848,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAR,Early-demographic dividend,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,156.2669556,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAS,East Asia & Pacific,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,150.6907458,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAP,East Asia & Pacific (excluding high income),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,90.12927383,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,91.22923331,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EMU,Euro area,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,930.6466981,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECS,Europe & Central Asia,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,638.4677112,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EUU,European Union,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,796.5429609,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FCS,Fragile and conflict affected situations,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,139.1664538,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HPC,Heavily indebted poor countries (HIPC),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,132.9922607,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HIC,High income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,1204.643518,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IBD,IBRD only,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,167.6520302,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IBT,IDA & IBRD total,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,158.0875773,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDB,IDA blend,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,98.34269737,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDX,IDA only,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,117.7473673,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDA,IDA total,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,109.3493357,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LTE,Late-demographic dividend,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,167.1777279,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LCN,Latin America & Caribbean,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,385.728787,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LAC,Latin America & Caribbean (excluding high income),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,350.8565849,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TLA,Latin America & Caribbean (IDA & IBRD),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,380.3073549,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LDC,Least developed countries: UN classification,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,114.7731836,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LMY,Low & middle income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,131.4933752,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LIC,Low income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,107.1929364,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LMC,Lower middle income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,104.005764,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MEA,Middle East and North Africa,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,243.9203895,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MNA,Middle East & North Africa (excluding high income),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,185.395388,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TMN,Middle East & North Africa (IDA & IBRD),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,183.6807594,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MIC,Middle income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,133.8846712,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,NAC,North America,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,2933.326121,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,OED,OECD members,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,1310.726783,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PST,Post-demographic dividend,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,1370.47038,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PRE,Pre-demographic dividend,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,129.0216619,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAS,South Asia,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,84.01880344,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TSA,South Asia (IDA & IBRD),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,84.01880344,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SSF,Sub-Saharan Africa,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,158.1001471,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SSA,Sub-Saharan Africa (excluding high income),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,158.0786844,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TSS,Sub-Saharan Africa (IDA & IBRD),WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,158.1001471,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,UMC,Upper middle income,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,155.7303623,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,WLD,World,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),1960,454.0572333,A,Normal value,PU,Public
